item_id,rarity,base_value,drop_rate
I0000,rare,427.11,0.016554363033067614
I0001,common,60.66,0.12427705348764716
I0002,common,39.6,0.12644062018998592
I0003,rare,322.62,0.009522416711977628
I0004,common,57.79,0.044207187529195474
I0005,legendary,3701.56,0.002883977831725109
I0006,common,52.82,0.14715051379954316
I0007,common,71.07,0.13843473437545817
I0008,rare,469.07,0.009726695663276929
I0009,common,51.69,0.04287942109812065
I0010,rare,466.58,0.009759256175910325
I0011,rare,475.15,0.010279418008751828
I0012,common,33.28,0.10915644591365682
I0013,common,68.35,0.07137468074055386
I0014,common,69.31,0.1380138418859071
I0015,common,70.11,0.08867542435542031
I0016,rare,327.14,0.01681100582259237
I0017,common,58.59,0.09005217290631938
I0018,common,30.98,0.10680222387749377
I0019,common,39.05,0.026614544253459608
I0020,common,46.76,0.06810840428645222
I0021,common,51.49,0.03877062138507837
I0022,rare,319.42,0.017695864908706373
I0023,common,45.29,0.03545304917320404
I0024,rare,358.09,0.015028549415701052
I0025,rare,348.48,0.010353137277495853
I0026,rare,387.61,0.01942993795664304
I0027,common,55.31,0.04106421915752825
I0028,common,37.69,0.14689798476840274
I0029,common,43.27,0.08666555903179851
I0030,rare,409.83,0.008051170551489012
I0031,common,40.8,0.09442759853758376
I0032,common,46.84,0.10858617919459715
I0033,common,32.36,0.02353527697131711
I0034,common,69.49,0.11805393839566101
I0035,rare,386.29,0.01823341451262044
I0036,rare,349.74,0.017743204321730002
I0037,common,38.03,0.13058702001299707
I0038,common,41.81,0.07035712829379791
I0039,rare,485.4,0.016201567820867357
