seed,festival_on,overall_precision,overall_recall,tp,fp,fn,fraud_type,type_precision,type_recall,type_tp,type_fp,type_fn
1337,1,1.0,1.0,80,0,0,collusive_flip,1.0,1.0,20,0,0
1337,1,1.0,1.0,80,0,0,mule_transfer,1.0,1.0,12,0,0
1337,1,1.0,1.0,80,0,0,wash_trading,1.0,1.0,48,0,0
7,1,1.0,0.988,79,0,1,collusive_flip,1.0,0.95,19,0,1
7,1,1.0,0.988,79,0,1,mule_transfer,1.0,1.0,12,0,0
7,1,1.0,0.988,79,0,1,wash_trading,1.0,1.0,48,0,0
21,1,1.0,1.0,80,0,0,collusive_flip,1.0,1.0,20,0,0
21,1,1.0,1.0,80,0,0,mule_transfer,1.0,1.0,12,0,0
21,1,1.0,1.0,80,0,0,wash_trading,1.0,1.0,48,0,0
101,1,1.0,0.988,79,0,1,collusive_flip,1.0,0.95,19,0,1
101,1,1.0,0.988,79,0,1,mule_transfer,1.0,1.0,12,0,0
101,1,1.0,0.988,79,0,1,wash_trading,1.0,1.0,48,0,0
303,1,1.0,0.975,78,0,2,collusive_flip,1.0,0.9,18,0,2
303,1,1.0,0.975,78,0,2,mule_transfer,1.0,1.0,12,0,0
303,1,1.0,0.975,78,0,2,wash_trading,1.0,1.0,48,0,0
808,0,1.0,1.0,80,0,0,collusive_flip,1.0,1.0,20,0,0
808,0,1.0,1.0,80,0,0,mule_transfer,1.0,1.0,12,0,0
808,0,1.0,1.0,80,0,0,wash_trading,1.0,1.0,48,0,0
909,0,1.0,0.95,76,0,4,collusive_flip,1.0,0.95,19,0,1
909,0,1.0,0.95,76,0,4,mule_transfer,1.0,0.75,9,0,3
909,0,1.0,0.95,76,0,4,wash_trading,1.0,1.0,48,0,0
111,0,1.0,1.0,80,0,0,collusive_flip,1.0,1.0,20,0,0
111,0,1.0,1.0,80,0,0,mule_transfer,1.0,1.0,12,0,0
111,0,1.0,1.0,80,0,0,wash_trading,1.0,1.0,48,0,0
222,0,1.0,1.0,80,0,0,collusive_flip,1.0,1.0,20,0,0
222,0,1.0,1.0,80,0,0,mule_transfer,1.0,1.0,12,0,0
222,0,1.0,1.0,80,0,0,wash_trading,1.0,1.0,48,0,0
333,0,1.0,0.975,78,0,2,collusive_flip,1.0,0.95,19,0,1
333,0,1.0,0.975,78,0,2,mule_transfer,1.0,0.917,11,0,1
333,0,1.0,0.975,78,0,2,wash_trading,1.0,1.0,48,0,0
